suite,task,episode,annotator,convention,status,path,n_frames,fps,n_seg,pattern,source_archive,orig_filename,sha256
libero_10,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,41db5f8ae6c7731015366f41bb1c38ff,Human1,absorb,ok,annotations/libero_10/pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/41db5f8ae6c7731015366f41bb1c38ff/41db5f8ae6c7731015366f41bb1c38ff_subtask_Human1.json,169,10.0,2,Grasp|Place,libero_object_10_Human3 folder,41db5f8ae6c7731015366f41bb1c38ff_subtask_Human1.json,452821e71959b68db422677e3b78c04c03c8f05fb9a911b8771d9b9721d8dfba
libero_10,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,41db5f8ae6c7731015366f41bb1c38ff,Human2,absorb,ok,annotations/libero_10/pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/41db5f8ae6c7731015366f41bb1c38ff/41db5f8ae6c7731015366f41bb1c38ff_subtask_Human2.json,169,10.0,3,Reach|Move|Insert,l24_human2_0912.tar.gz,41db5f8ae6c7731015366f41bb1c38ff_subtask_Human2.json,15722dcc685d5decdbe87d5abaa78df6629292808345f3375e64606a1d3ff542
libero_10,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,41db5f8ae6c7731015366f41bb1c38ff,Human3,absorb,ok,annotations/libero_10/pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/41db5f8ae6c7731015366f41bb1c38ff/41db5f8ae6c7731015366f41bb1c38ff_subtask_Human3.json,169,10.0,2,Pick|Put,l24_human3_0912.tar.gz,41db5f8ae6c7731015366f41bb1c38ff_subtask_Human3.json,408cde078861ce564777a6d7d425f298def9d264a962a21936c4b87cedec7893
libero_10,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,8e09a9c67693e64100e61a5302bdbcdc,Human1,absorb,ok,annotations/libero_10/pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/8e09a9c67693e64100e61a5302bdbcdc/8e09a9c67693e64100e61a5302bdbcdc_subtask_Human1.json,211,10.0,2,Grasp|Place,libero_object_10_Human3 folder,8e09a9c67693e64100e61a5302bdbcdc_subtask_Human1.json,e9bda48ec108b8c402c2f8e71da55f9c66f58c21d8c5373216ee3c172694ff59
libero_10,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,8e09a9c67693e64100e61a5302bdbcdc,Human2,absorb,ok,annotations/libero_10/pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/8e09a9c67693e64100e61a5302bdbcdc/8e09a9c67693e64100e61a5302bdbcdc_subtask_Human2.json,211,10.0,3,Grasp|Move|Insert,l24_human2_0912.tar.gz,8e09a9c67693e64100e61a5302bdbcdc_subtask_Human2.json,1de80281ad6bd27cbb5edb42e64713b4cf906a8344a462df09609b576abcd755
libero_10,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,8e09a9c67693e64100e61a5302bdbcdc,Human3,absorb,ok,annotations/libero_10/pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/8e09a9c67693e64100e61a5302bdbcdc/8e09a9c67693e64100e61a5302bdbcdc_subtask_Human3.json,211,10.0,2,Pick|Put,l24_human3_0912.tar.gz,8e09a9c67693e64100e61a5302bdbcdc_subtask_Human3.json,6b1ded4242216f974dd20b4aba9026c6f012a17eadb5449dcf56b3b8d1ae6344
libero_10,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,a04c83d25d12894e57583b99200a2676,Human1,absorb,ok,annotations/libero_10/pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/a04c83d25d12894e57583b99200a2676/a04c83d25d12894e57583b99200a2676_subtask_Human1.json,167,10.0,2,Grasp|Place,libero_object_10_Human3 folder,a04c83d25d12894e57583b99200a2676_subtask_Human1.json,1edd4ae7d24235a2739f8e9096e7c2fcc15c972b2ccca8b7a4e79ad1cf947c79
libero_10,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,a04c83d25d12894e57583b99200a2676,Human2,absorb,ok,annotations/libero_10/pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/a04c83d25d12894e57583b99200a2676/a04c83d25d12894e57583b99200a2676_subtask_Human2.json,167,10.0,3,Grasp|Move|Align,l24_human2_0912.tar.gz,a04c83d25d12894e57583b99200a2676_subtask_Human2.json,398419717c5f2badaf2f4a681e308bfda9cb9d42a685ef55abd3410934804279
libero_10,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,a04c83d25d12894e57583b99200a2676,Human3,absorb,ok,annotations/libero_10/pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/a04c83d25d12894e57583b99200a2676/a04c83d25d12894e57583b99200a2676_subtask_Human3.json,167,10.0,2,Pick|Put,l24_human3_0912.tar.gz,a04c83d25d12894e57583b99200a2676_subtask_Human3.json,f46d41c3a712e3581069e71a50f27041c44939128586d38c7bcd3c01e76325e3
libero_10,put_both_moka_pots_on_the_stove,5d7132c78a67ed929ecc59f056cab736,Human1,absorb,ok,annotations/libero_10/put_both_moka_pots_on_the_stove/5d7132c78a67ed929ecc59f056cab736/5d7132c78a67ed929ecc59f056cab736_subtask_Human1.json,421,10.0,5,Grasp|Place|Grasp|Place|Move,libero_object_10_Human3 folder,5d7132c78a67ed929ecc59f056cab736_subtask_Human1.json,0c2d4764207bfe7c2a8ebcba9f0e89ee5ffc3992674ae8c61d62c143cdf48aac
